"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","CDOM_ugL","Phycoerythrin_ugL","Phycocyanin_ugL","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_CDOM_ugL","Flag_Phycoerythrin_ugL","Flag_Phycocyanin_ugL","Flag_DescRate_ms"
"FCR",50,7809,2026-01-21 10:41:23,-0.112,2.2038,NA,NA,NA,NA,NA,NA,NA,NA,104.18,NA,NA,NA,0.068,0,0,6,6,6,6,6,6,6,6,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,-0.089,2.2214,NA,NA,NA,NA,NA,NA,NA,NA,104.92,NA,NA,NA,0.086,0,0,6,6,6,6,6,6,6,6,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,-0.066,2.2101,NA,NA,NA,NA,NA,NA,NA,NA,106.32,NA,NA,NA,0.104,0,0,6,6,6,6,6,6,6,6,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,-0.041,2.2409,NA,NA,NA,NA,NA,NA,NA,NA,112.01,NA,NA,NA,0.116,0,0,6,6,6,6,6,6,6,6,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,-0.007,2.3068,NA,NA,NA,NA,NA,NA,NA,NA,116.85,NA,NA,NA,0.121,0,0,6,6,6,6,6,6,6,6,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.034,2.3682,12.8719,97.15,24.556677,44.769,0.5323,4.3857,10.087,331.3451,108.84,NA,NA,NA,0.121,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.074,2.4193,12.9442,97.256,24.650647,44.989,0.5607,4.4994,10.102,333.2138,97.064,NA,NA,NA,0.118,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.101,2.4265,13.0732,97.362,24.922298,45.546,0.581,4.5241,10.116,334.3644,93.956,NA,NA,NA,0.108,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.12,2.4323,13.2262,97.637,24.733634,45.249,0.5943,4.5135,10.128,334.9325,91.038,NA,NA,NA,0.093,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.142,2.4397,13.3064,97.889,24.27208,44.443,0.6129,4.5765,10.138,334.6615,83.893,NA,NA,NA,0.074,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.165,2.3959,13.2965,98.024,23.971211,43.933,0.6318,4.6028,10.148,332.5507,80.308,NA,NA,NA,0.056,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.179,2.3546,13.3201,98.073,23.822773,43.704,0.6396,4.4549,10.159,329.4584,81.918,NA,NA,NA,0.041,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.184,2.3281,13.3865,98.067,23.745638,43.587,0.6399,4.2232,10.17,327.1284,83.062,NA,NA,NA,0.028,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.184,2.3055,13.4313,98.056,23.736133,43.567,0.6605,4.1588,10.179,325.2011,82.348,NA,NA,NA,0.015,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.184,2.2847,13.4524,97.974,23.77127,43.624,0.6892,4.2567,10.186,323.363,83.562,NA,NA,NA,0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.184,2.2489,13.4754,97.601,23.789993,43.66,0.6626,4.2454,10.194,322.4559,87.057,NA,NA,NA,-0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.184,2.2306,13.4729,96.092,23.772262,43.637,0.605,4.1593,10.204,322.5794,88.086,NA,NA,NA,-0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.183,2.2403,13.4735,92.221,23.747118,43.6,0.5839,4.1382,10.217,321.8443,88.386,NA,NA,NA,-0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.18,2.2488,13.468,86.88,23.739638,43.59,0.5987,4.1612,10.23,319.6776,90.042,NA,NA,NA,-0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.175,2.2452,13.4366,82.547,23.745248,43.6,0.6008,4.1976,10.241,318.5791,86.707,NA,NA,NA,-0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.172,2.2376,13.3523,79.941,23.751523,43.607,0.5427,4.1678,10.251,318.8878,80.782,NA,NA,NA,-0.006,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.172,2.231,12.7817,78.515,23.752101,43.6,0.4791,4.1431,10.261,319.7959,78.177,NA,NA,NA,-0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.173,2.2287,11.8407,77.991,23.752242,43.589,0.481,4.2056,10.267,320.9546,77.658,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.173,2.2298,11.2525,78.27,23.753223,43.579,0.498,4.2415,10.272,320.681,78.385,NA,NA,NA,0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.174,2.2328,10.9398,79.265,23.763968,43.594,0.4852,4.2354,10.278,318.0361,79.85,NA,NA,NA,0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.175,2.2366,10.7413,80.499,23.755341,43.579,0.4686,4.2676,10.284,314.4431,80.824,NA,NA,NA,0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2451,10.6796,81.008,23.712323,43.503,0.4633,4.3579,10.289,312.2568,81.102,NA,NA,NA,0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2546,10.7083,80.318,23.687752,43.462,0.4793,4.4738,10.294,312.2505,81.272,NA,NA,NA,0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.257,10.8639,79.049,23.711914,43.505,0.4868,4.405,10.298,312.6468,81.347,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2554,11.0926,77.815,23.87763,43.799,0.4713,4.1745,10.303,312.0582,81.133,NA,NA,NA,-0.004,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2529,11.2064,76.741,24.486512,44.908,0.4835,4.146,10.303,311.2418,80.365,NA,NA,NA,-0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.176,2.2506,11.0514,75.943,25.112518,46.07,0.5171,4.2656,10.294,310.09,78.958,NA,NA,NA,-0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.171,2.2487,10.8466,75.61,24.914479,45.734,0.5456,4.254,10.281,308.5424,77.779,NA,NA,NA,-0.001,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.166,2.256,10.6818,75.758,24.375164,44.757,0.5531,4.1426,10.271,306.9835,77.48,NA,NA,NA,0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.17,2.2703,10.521,76.135,24.172597,44.373,0.5333,4.0797,10.266,305.095,77.741,NA,NA,NA,0.004,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2591,10.4051,76.566,24.11414,44.238,0.5388,4.1427,10.264,303.2598,77.673,NA,NA,NA,0.006,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.18,2.2315,10.3594,76.988,24.048874,44.083,0.553,4.1877,10.267,302.0025,77.299,NA,NA,NA,0.006,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.181,2.2246,10.4059,77.332,24.017649,43.99,0.5302,4.1108,10.272,301.3357,77.484,NA,NA,NA,0.004,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.181,2.2346,10.4593,77.576,23.990293,43.907,0.5295,4.1354,10.275,300.9627,77.846,NA,NA,NA,0.001,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.179,2.2527,10.514,77.665,23.971792,43.843,0.5531,4.2804,10.277,301.451,78.08,NA,NA,NA,-0.001,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.177,2.2767,10.572,77.535,23.984217,43.846,0.5403,4.3264,10.28,303.0229,78.09,NA,NA,NA,-0.001,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.176,2.2991,10.6103,77.276,23.950282,43.78,0.5081,4.2481,10.282,304.1367,78.185,NA,NA,NA,0.001,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.175,2.3192,10.6407,77.011,23.878569,43.656,0.4804,4.1529,10.285,303.9052,78.998,NA,NA,NA,0.003,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.178,2.3398,10.6548,76.754,23.814714,43.555,0.4713,4.1668,10.288,302.1169,79.392,NA,NA,NA,0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.182,2.3541,10.6253,76.473,23.748964,43.457,0.4816,4.2112,10.292,299.7217,78.842,NA,NA,NA,0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.185,2.3547,10.5808,76.152,23.717735,43.424,0.472,4.1437,10.299,298.3477,78.355,NA,NA,NA,0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.186,2.3496,10.5482,75.769,23.754189,43.514,0.455,4.0665,10.308,299.3575,78.057,NA,NA,NA,0.007,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.186,2.3408,10.5171,75.35,23.80922,43.634,0.4593,4.0632,10.316,302.0364,77.48,NA,NA,NA,0.008,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.186,2.3247,10.4837,74.981,23.812367,43.653,0.482,4.138,10.321,303.2911,76.954,NA,NA,NA,0.009,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.187,2.3079,10.4455,74.69,23.79223,43.624,0.5293,4.2535,10.325,303.1703,76.799,NA,NA,NA,0.011,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.192,2.2934,10.3985,74.462,23.755993,43.564,0.574,4.3335,10.328,302.4696,76.534,NA,NA,NA,0.012,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.199,2.281,10.3349,74.249,23.691293,43.452,0.5893,4.4221,10.328,301.0999,77.09,NA,NA,NA,0.012,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.204,2.2728,10.2886,74.039,23.644102,43.375,0.6065,4.5395,10.329,300.118,78.643,NA,NA,NA,0.011,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2682,10.2496,73.936,23.629312,43.362,0.616,4.5568,10.332,300.0619,79.15,NA,NA,NA,0.008,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2651,10.2212,73.979,23.6393,43.395,0.5795,4.4606,10.336,300.5074,78.897,NA,NA,NA,0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2621,10.1982,74.119,23.638027,43.401,0.5308,4.3671,10.341,300.4269,78.172,NA,NA,NA,0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2565,10.1588,74.314,23.613915,43.36,0.5259,4.3828,10.346,299.7779,78.207,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2466,10.148,74.535,23.601431,43.337,0.5621,4.4445,10.352,299.1993,79.306,NA,NA,NA,2.6046e-08,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
