Reservoir,Site,DateTime,Depth_m,Rep,CH4_umolL,CO2_umolL,Flag_DateTime,Flag_CH4_umolL,Flag_CO2_umolL
BVR,50,2025-02-24 10:47:00,0.1,1,0.0392,47.3355,0,0,0
BVR,50,2025-02-24 10:47:00,0.1,2,0.043,48.6093,0,0,0
BVR,50,2025-02-24 11:02:00,3,1,0.0451,37.6284,0,0,0
BVR,50,2025-02-24 11:02:00,3,2,0.0507,49.57,0,0,0
BVR,50,2025-02-24 11:08:00,6,1,0.0686,47.945,0,0,0
BVR,50,2025-02-24 11:08:00,6,2,0.0608,46.1055,0,0,0
BVR,50,2025-02-24 11:15:00,9,1,0.1314,55.8258,0,0,0
BVR,50,2025-02-24 11:15:00,9,2,0.1339,59.3305,0,0,0
BVR,50,2025-03-10 10:15:00,0.1,1,0.1278,34.0056,0,0,0
BVR,50,2025-03-10 10:15:00,0.1,2,0.1332,38.156,0,0,0
BVR,50,2025-03-10 10:20:00,3,1,0.1091,36.4631,0,0,0
BVR,50,2025-03-10 10:20:00,3,2,0.111,33.8901,0,0,0
BVR,50,2025-03-10 10:25:00,6,1,0.1114,32.6748,0,0,0
BVR,50,2025-03-10 10:25:00,6,2,0.1177,31.0359,0,0,0
BVR,50,2025-03-10 10:35:00,8,1,NA,NA,0,1,1
BVR,50,2025-03-10 10:35:00,8,2,NA,NA,0,1,1
BVR,50,2025-03-24 10:10:00,0.1,1,NA,NA,0,1,1
BVR,50,2025-03-24 10:10:00,0.1,2,NA,NA,0,1,1
BVR,50,2025-03-24 10:15:00,3,1,NA,NA,0,1,1
BVR,50,2025-03-24 10:15:00,3,2,NA,NA,0,1,1
BVR,50,2025-03-24 10:20:00,6,1,NA,NA,0,1,1
BVR,50,2025-03-24 10:20:00,6,2,NA,NA,0,1,1
BVR,50,2025-03-24 10:25:00,8,1,NA,NA,0,1,1
BVR,50,2025-03-24 10:25:00,8,2,NA,NA,0,1,1
BVR,50,2025-04-07 11:50:00,0.1,1,NA,NA,0,1,1
BVR,50,2025-04-07 11:50:00,0.1,2,NA,NA,0,1,1
BVR,50,2025-04-07 12:10:00,3,1,NA,NA,0,1,1
BVR,50,2025-04-07 12:10:00,3,2,NA,NA,0,1,1
BVR,50,2025-04-07 12:15:00,6,1,NA,NA,0,1,1
BVR,50,2025-04-07 12:15:00,6,2,NA,NA,0,1,1
BVR,50,2025-04-07 12:30:00,7,1,NA,NA,0,1,1
BVR,50,2025-04-07 12:30:00,7,2,NA,NA,0,1,1
FCR,50,2025-01-27 11:20:00,0.1,1,0.0315,46.8029,0,0,0
FCR,50,2025-01-27 11:20:00,0.1,2,0.0289,46.7974,0,0,0
FCR,50,2025-01-27 11:38:00,1.6,1,0.0224,46.1714,0,0,0
FCR,50,2025-01-27 11:38:00,1.6,2,0.0244,47.5332,0,0,0
FCR,50,2025-01-27 11:47:00,3.8,1,0.0261,57.7895,0,0,0
FCR,50,2025-01-27 11:47:00,3.8,2,0.0226,54.3061,0,0,0
FCR,50,2025-01-27 11:55:00,5,1,0.0204,55.8697,0,0,0
FCR,50,2025-01-27 11:55:00,5,2,0.0244,63.0368,0,0,0
FCR,50,2025-01-27 12:04:00,6.2,1,0.0204,72.1371,0,0,0
FCR,50,2025-01-27 12:04:00,6.2,2,0.0325,83.0939,0,0,0
FCR,50,2025-01-27 12:12:00,8,1,0.0248,145.636,0,0,0
FCR,50,2025-01-27 12:12:00,8,2,0.0236,144.3429,0,0,0
FCR,50,2025-01-27 12:18:00,9,1,0.0965,212.6471,0,0,0
FCR,50,2025-01-27 12:18:00,9,2,0.0867,210.6677,0,0,0
FCR,1.1,2025-01-27 12:28:00,0.1,1,1.6882,439.5388,0,0,0
FCR,1.1,2025-01-27 12:28:00,0.1,2,1.7658,326.8693,0,7,7
FCR,100,2025-01-27 13:05:00,0.1,1,0.0155,32.6033,0,2,0
FCR,100,2025-01-27 13:05:00,0.1,2,0.0216,17.3523,0,0,0
FCR,50,2025-02-24 10:25:00,0.1,1,0.0529,40.7004,0,0,0
FCR,50,2025-02-24 10:25:00,0.1,2,0.061,39.2112,0,0,0
FCR,50,2025-02-24 10:28:00,1.6,1,0.0573,36.8973,0,0,0
FCR,50,2025-02-24 10:28:00,1.6,2,0.0629,39.508,0,0,0
FCR,50,2025-02-24 10:38:00,3.8,1,0.0538,298.7007,0,0,4
FCR,50,2025-02-24 10:38:00,3.8,2,0.0598,43.8757,0,0,4
FCR,50,2025-02-24 10:45:00,5,1,0.0563,44.2327,0,0,0
FCR,50,2025-02-24 10:45:00,5,2,0.06,41.063,0,0,0
FCR,50,2025-02-24 10:55:00,6.2,1,0.0503,47.0225,0,0,0
FCR,50,2025-02-24 10:55:00,6.2,2,0.0646,42.5739,0,0,0
FCR,50,2025-02-24 11:10:00,8,1,0.0832,49.0155,0,0,0
FCR,50,2025-02-24 11:10:00,8,2,0.092,56.2921,0,0,0
FCR,50,2025-02-24 11:15:00,9,1,0.0965,54.0098,0,0,0
FCR,50,2025-02-24 11:15:00,9,2,0.1006,57.5317,0,0,0
FCR,100,2025-02-24 13:38:00,0.1,1,0.0214,33.2852,0,0,0
