"com_date","miss","field_date","lab_date","upper_date","field_vial_number","lab_vial_number"
2025-02-25,"no_field_obs",NA,2025-02-25,NA,NA,"224"
2025-02-25,"no_field_obs",NA,2025-02-25,NA,NA,"21"
2025-02-25,"no_field_obs",NA,2025-02-25,NA,NA,"354"
2025-02-25,"no_field_obs",NA,2025-02-25,NA,NA,"241"
2025-03-10,"no_lab_obs",2025-03-10,NA,2025-03-14,197,NA
2025-03-10,"no_lab_obs",2025-03-10,NA,2025-03-14,105,NA
2025-03-10,"no_lab_obs",2025-03-10,NA,2025-03-14,375,NA
2025-03-11,"no_field_obs",NA,2025-03-11,NA,NA,"313"
2025-03-11,"no_field_obs",NA,2025-03-11,NA,NA,"217"
2025-03-12,"no_field_obs",NA,2025-03-12,NA,NA,"105_FMI"
2025-03-12,"no_field_obs",NA,2025-03-12,NA,NA,"375_FMI"
2025-03-12,"no_field_obs",NA,2025-03-12,NA,NA,"197_FMI"
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,66,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,277,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,108,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,267,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,71,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,303,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,147,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,328,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,318,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,370,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,288,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,241,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,232,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,132,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,44,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,238,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,92,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,213,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,219,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,180,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,270,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,335,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,68,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,322,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,273,NA
2025-03-24,"no_lab_obs",2025-03-24,NA,2025-03-28,62,NA
2025-03-31,"no_lab_obs",2025-03-31,NA,2025-04-04,38,NA
2025-03-31,"no_lab_obs",2025-03-31,NA,2025-04-04,113,NA
